Flow,Unit,Amount,Direction
"printed wiring board production, for power supply unit, desktop computer, Pb free",m2,0.0168,Input
"insulated gate bipolar transistor production, for electric vehicle applications",kg,0.012427,Input
"integrated circuit production, logic type",kg,0.00178856875,Input
"electronic component production, active, unspecified",kg,0.0192993,Input
"electronic component, passive, unspecified",kg,0.002010018708,Input
"diode production, glass-, for surface-mounting",kg,0.000253223953,Input
light emitting diode production,kg,0.035,Input
"transistor production, surface-mounted",kg,7.7125e-06,Input
"market for transistor, surface-mounted",kg,4.6275e-05,Input
"capacitor production, film type, for through-hole mounting",kg,0.2122389,Input
"capacitor production, for surface-mounting",kg,0.001867008,Input
"capacitor production, electrolyte type, < 2cm height",kg,0.002831378,Input
"resistor production, surface-mounted",kg,0.0007349775,Input
"electric connector production, wire clamp",kg,0.00245594672,Input
"electric connector production, peripheral type buss",kg,0.00262788,Input
"electric connector production, peripheral component interconnect buss",kg,0.009047160352,Input
"transformer production, low voltage use",kg,0.0095,Input
"market for steel, low-alloyed + market for metal working, average for metal product manufacturing",kg,0.00126385,Input
"mounting, surface mount technology, Pb-free solder",m2,0.0168,Input
"mounting, through-hole technology, Pb-free solder",m2,0.0168,Input
